_id,value
"aaabcl","{ ""words"" : [ ""cabala"" ] }"
"aaabcn","{ ""words"" : [ ""cabana"" ] }"
"aaabcs","{ ""words"" : [ ""casaba"" ] }"
"aaabnn","{ ""words"" : [ ""banana"" ] }"
"aaabrz","{ ""words"" : [ ""bazaar"" ] }"
"aaacci","{ ""words"" : [ ""acacia"" ] }"
"aaaclp","{ ""words"" : [ ""alpaca"" ] }"
"aaacmr","{ ""words"" : [ ""maraca"" ] }"
"aaadmr","{ ""words"" : [ ""armada"" ] }"
"aaaelz","{ ""words"" : [ ""azalea"" ] }"
"aaaitx","{ ""words"" : [ ""ataxia"" ] }"
"aaajmp","{ ""words"" : [ ""pajama"" ] }"
"aaalms","{ ""words"" : [ ""salaam"" ] }"
"aaamnn","{ ""words"" : [ ""manana"" ] }"
"aaamnp","{ ""words"" : [ ""panama"" ] }"
"aaappy","{ ""words"" : [ ""papaya"" ] }"
"aaartv","{ ""words"" : [ ""avatar"" ] }"
"aabbbo","{ ""words"" : [ ""baobab"" ] }"
"aabblo","{ ""words"" : [ ""balboa"" ] }"
"aabcls","{ ""words"" : [ ""cabals"" ] }"
"aabcrs","{ ""words"" : [ ""scarab"" ] }"
"aabcsu","{ ""words"" : [ ""abacus"" ] }"
"aabder","{ ""words"" : [ ""abrade"" ] }"
"aabdes","{ ""words"" : [ ""abased"" ] }"
"aabdet","{ ""words"" : [ ""abated"" ] }"
"aabdll","{ ""words"" : [ ""ballad"" ] }"
"aabdlm","{ ""words"" : [ ""lambda"" ] }"
"aabdmn","{ ""words"" : [ ""badman"" ] }"
"aabdor","{ ""words"" : [ ""abroad"", ""aboard"" ] }"
"aabegt","{ ""words"" : [ ""teabag"" ] }"
"aabelr","{ ""words"" : [ ""arable"" ] }"
"aabelt","{ ""words"" : [ ""ablate"" ] }"
"aabelz","{ ""words"" : [ ""ablaze"" ] }"
"aabemo","{ ""words"" : [ ""amoeba"" ] }"
"aabess","{ ""words"" : [ ""abases"" ] }"
"aabest","{ ""words"" : [ ""abates"" ] }"
"aabggr","{ ""words"" : [ ""ragbag"" ] }"
"aabggs","{ ""words"" : [ ""gasbag"" ] }"
"aabgin","{ ""words"" : [ ""baaing"" ] }"
"aabgir","{ ""words"" : [ ""airbag"" ] }"
"aabgrt","{ ""words"" : [ ""ratbag"" ] }"
"aabill","{ ""words"" : [ ""labial"" ] }"
"aabinz","{ ""words"" : [ ""banzai"" ] }"
"aablms","{ ""words"" : [ ""balsam"" ] }"
"aablss","{ ""words"" : [ ""balsas"" ] }"
"aablst","{ ""words"" : [ ""basalt"", ""tablas"" ] }"
"aabmms","{ ""words"" : [ ""mambas"" ] }"
"aabmnr","{ ""words"" : [ ""barman"" ] }"
"aabmnt","{ ""words"" : [ ""bantam"", ""batman"" ] }"
"aabmss","{ ""words"" : [ ""sambas"" ] }"
"aabnny","{ ""words"" : [ ""banyan"" ] }"
"aabrss","{ ""words"" : [ ""sabras"" ] }"
"aaccdi","{ ""words"" : [ ""cicada"" ] }"
"aacclo","{ ""words"" : [ ""cloaca"" ] }"
"aaccnn","{ ""words"" : [ ""cancan"" ] }"
"aaccos","{ ""words"" : [ ""cacaos"" ] }"
"aacdef","{ ""words"" : [ ""facade"" ] }"
"aacder","{ ""words"" : [ ""arcade"" ] }"
"aacdhs","{ ""words"" : [ ""dachas"" ] }"
"aacdlu","{ ""words"" : [ ""caudal"" ] }"
"aacdmp","{ ""words"" : [ ""madcap"" ] }"
"aacdnr","{ ""words"" : [ ""canard"" ] }"
"aacefr","{ ""words"" : [ ""carafe"" ] }"
"aacelp","{ ""words"" : [ ""palace"" ] }"
"aacemr","{ ""words"" : [ ""camera"" ] }"
"aacenp","{ ""words"" : [ ""canape"" ] }"
"aacenr","{ ""words"" : [ ""arcane"" ] }"
"aacetv","{ ""words"" : [ ""caveat"", ""vacate"" ] }"
"aacfil","{ ""words"" : [ ""facial"" ] }"
"aacfis","{ ""words"" : [ ""fascia"" ] }"
"aacfnt","{ ""words"" : [ ""caftan"" ] }"
"aacfrs","{ ""words"" : [ ""fracas"" ] }"
"aachns","{ ""words"" : [ ""ashcan"" ] }"
"aachtt","{ ""words"" : [ ""attach"" ] }"
"aacilp","{ ""words"" : [ ""apical"" ] }"
"aacilr","{ ""words"" : [ ""racial"" ] }"
"aacimn","{ ""words"" : [ ""caiman"", ""maniac"" ] }"
"aacirv","{ ""words"" : [ ""caviar"" ] }"
"aaciss","{ ""words"" : [ ""cassia"" ] }"
"aacitx","{ ""words"" : [ ""ataxic"" ] }"
"aacjkl","{ ""words"" : [ ""jackal"" ] }"
"aacktt","{ ""words"" : [ ""attack"" ] }"
"aaclls","{ ""words"" : [ ""callas"" ] }"
"aaclno","{ ""words"" : [ ""canola"" ] }"
"aaclnr","{ ""words"" : [ ""carnal"" ] }"
"aaclns","{ ""words"" : [ ""canals"" ] }"
"aaclnu","{ ""words"" : [ ""lacuna"" ] }"
"aaclpr","{ ""words"" : [ ""carpal"" ] }"
"aaclps","{ ""words"" : [ ""pascal"" ] }"
"aaclrs","{ ""words"" : [ ""rascal"", ""scalar"" ] }"
"aaclsu","{ ""words"" : [ ""casual"", ""causal"" ] }"
"aacltu","{ ""words"" : [ ""actual"" ] }"
"aacmrt","{ ""words"" : [ ""tarmac"" ] }"
"aacmsw","{ ""words"" : [ ""macaws"" ] }"
"aacnpt","{ ""words"" : [ ""catnap"" ] }"
"aacnry","{ ""words"" : [ ""canary"" ] }"
"aacnsv","{ ""words"" : [ ""canvas"" ] }"
"aacntv","{ ""words"" : [ ""vacant"" ] }"
"aacppy","{ ""words"" : [ ""papacy"" ] }"
"aacrst","{ ""words"" : [ ""carats"" ] }"
"aacrtv","{ ""words"" : [ ""cravat"" ] }"
"aadegm","{ ""words"" : [ ""damage"" ] }"
"aadegn","{ ""words"" : [ ""agenda"" ] }"
"aadegs","{ ""words"" : [ ""adages"" ] }"
"aademm","{ ""words"" : [ ""madame"" ] }"
"aademz","{ ""words"" : [ ""amazed"" ] }"
"aadepr","{ ""words"" : [ ""parade"" ] }"
"aadfir","{ ""words"" : [ ""afraid"" ] }"
"aadfrs","{ ""words"" : [ ""farads"" ] }"
"aadgio","{ ""words"" : [ ""adagio"" ] }"
"aadgop","{ ""words"" : [ ""pagoda"" ] }"
"aadhil","{ ""words"" : [ ""dahlia"" ] }"
"aadhrz","{ ""words"" : [ ""hazard"" ] }"
"aadilr","{ ""words"" : [ ""radial"" ] }"
"aadins","{ ""words"" : [ ""naiads"" ] }"
"aadkms","{ ""words"" : [ ""damask"" ] }"
"aadlmy","{ ""words"" : [ ""malady"" ] }"
"aadlns","{ ""words"" : [ ""sandal"" ] }"
"aadlnu","{ ""words"" : [ ""landau"" ] }"
"aadlnv","{ ""words"" : [ ""vandal"" ] }"
"aadlss","{ ""words"" : [ ""salads"" ] }"
"aadmmn","{ ""words"" : [ ""madman"" ] }"
"aadmms","{ ""words"" : [ ""madams"" ] }"
"aadmrs","{ ""words"" : [ ""madras"", ""dramas"" ] }"
"aadmru","{ ""words"" : [ ""maraud"" ] }"
"aadmyy","{ ""words"" : [ ""mayday"" ] }"
"aadnps","{ ""words"" : [ ""pandas"" ] }"
"aadpst","{ ""words"" : [ ""adapts"" ] }"
"aadpyy","{ ""words"" : [ ""payday"" ] }"
"aadrrs","{ ""words"" : [ ""radars"" ] }"
"aadrsw","{ ""words"" : [ ""awards"" ] }"
"aaeert","{ ""words"" : [ ""aerate"" ] }"
"aaeflm","{ ""words"" : [ ""aflame"" ] }"
"aaeggr","{ ""words"" : [ ""garage"" ] }"
"aaeglm","{ ""words"" : [ ""agleam"" ] }"
"aaegln","{ ""words"" : [ ""galena"" ] }"
"aaeglv","{ ""words"" : [ ""lavage"" ] }"
"aaegmn","{ ""words"" : [ ""manage"" ] }"
"aaegrv","{ ""words"" : [ ""ravage"" ] }"
"aaegst","{ ""words"" : [ ""agates"" ] }"
"aaegsv","{ ""words"" : [ ""savage"" ] }"
"aaegtu","{ ""words"" : [ ""gateau"" ] }"
"aaeilr","{ ""words"" : [ ""aerial"" ] }"
"aaeimn","{ ""words"" : [ ""anemia"" ] }"
"aaeknw","{ ""words"" : [ ""awaken"" ] }"
"aaekrt","{ ""words"" : [ ""karate"" ] }"
"aaeksw","{ ""words"" : [ ""awakes"" ] }"
"aaellp","{ ""words"" : [ ""paella"" ] }"
"aaelmt","{ ""words"" : [ ""tamale"" ] }"
"aaelnn","{ ""words"" : [ ""anneal"" ] }"
"aaelpp","{ ""words"" : [ ""appeal"" ] }"
"aaelpt","{ ""words"" : [ ""palate"" ] }"
"aaelrv","{ ""words"" : [ ""larvae"" ] }"
"aaemns","{ ""words"" : [ ""seaman"" ] }"
"aaemsz","{ ""words"" : [ ""amazes"" ] }"
"aaenps","{ ""words"" : [ ""paeans"" ] }"
"aaenrs","{ ""words"" : [ ""arenas"" ] }"
"aaensu","{ ""words"" : [ ""nausea"" ] }"
"aaeppr","{ ""words"" : [ ""appear"" ] }"
"aaerrt","{ ""words"" : [ ""errata"" ] }"
"aaerwx","{ ""words"" : [ ""earwax"" ] }"
"aaeswy","{ ""words"" : [ ""seaway"" ] }"
"aaffir","{ ""words"" : [ ""affair"", ""raffia"" ] }"
"aaffry","{ ""words"" : [ ""affray"" ] }"
"aafghn","{ ""words"" : [ ""afghan"" ] }"
"aafijt","{ ""words"" : [ ""fajita"" ] }"
"aafims","{ ""words"" : [ ""mafias"" ] }"
"aafinr","{ ""words"" : [ ""farina"" ] }"
"aafirs","{ ""words"" : [ ""safari"" ] }"
"aaflot","{ ""words"" : [ ""afloat"" ] }"
"aafnsu","{ ""words"" : [ ""faunas"" ] }"
"aafstw","{ ""words"" : [ ""fatwas"" ] }"
"aaggrt","{ ""words"" : [ ""ragtag"" ] }"
"aaghmr","{ ""words"" : [ ""graham"" ] }"
"aaghnr","{ ""words"" : [ ""hangar"" ] }"
"aaghst","{ ""words"" : [ ""aghast"" ] }"
"aaginn","{ ""words"" : [ ""angina"" ] }"
"aaginu","{ ""words"" : [ ""iguana"" ] }"
"aaginv","{ ""words"" : [ ""vagina"" ] }"
"aagist","{ ""words"" : [ ""taigas"" ] }"
"aagjru","{ ""words"" : [ ""jaguar"" ] }"
"aaglno","{ ""words"" : [ ""analog"" ] }"
"aaglnr","{ ""words"" : [ ""raglan"" ] }"
"aaglxy","{ ""words"" : [ ""galaxy"" ] }"
"aagmms","{ ""words"" : [ ""gammas"" ] }"
"aagmns","{ ""words"" : [ ""gasman"" ] }"
"aagnor","{ ""words"" : [ ""angora"" ] }"
"aagnps","{ ""words"" : [ ""pagans"" ] }"
"aagrvy","{ ""words"" : [ ""vagary"" ] }"
"aagsuv","{ ""words"" : [ ""guavas"" ] }"
"aahily","{ ""words"" : [ ""aliyah"" ] }"
"aahipr","{ ""words"" : [ ""pariah"" ] }"
"aahirs","{ ""words"" : [ ""sharia"" ] }"
"aahjrs","{ ""words"" : [ ""rajahs"" ] }"
"aahknu","{ ""words"" : [ ""kahuna"" ] }"
"aahllw","{ ""words"" : [ ""wallah"" ] }"
"aahlos","{ ""words"" : [ ""alohas"" ] }"
"aahlps","{ ""words"" : [ ""alphas"" ] }"
"aahlrs","{ ""words"" : [ ""ashlar"" ] }"
"aahmns","{ ""words"" : [ ""shaman"" ] }"
"aahmrs","{ ""words"" : [ ""ashram"" ] }"
"aahmst","{ ""words"" : [ ""asthma"" ] }"
"aahpss","{ ""words"" : [ ""pashas"" ] }"
"aahpty","{ ""words"" : [ ""apathy"" ] }"
"aahrss","{ ""words"" : [ ""harass"" ] }"
"aahssy","{ ""words"" : [ ""sashay"" ] }"
"aaikll","{ ""words"" : [ ""alkali"" ] }"
"aailmn","{ ""words"" : [ ""animal"", ""lamina"", ""manila"" ] }"
"aailmp","{ ""words"" : [ ""impala"" ] }"
"aailms","{ ""words"" : [ ""salami"" ] }"
"aailns","{ ""words"" : [ ""lanais"" ] }"
"aailrt","{ ""words"" : [ ""atrial"", ""lariat"" ] }"
"aailss","{ ""words"" : [ ""assail"" ] }"
"aailsv","{ ""words"" : [ ""avails"", ""saliva"" ] }"
"aaimms","{ ""words"" : [ ""miasma"" ] }"
"aaimnr","{ ""words"" : [ ""airman"", ""marina"" ] }"
"aaimns","{ ""words"" : [ ""manias"" ] }"
"aaimtt","{ ""words"" : [ ""tatami"" ] }"
"aainpt","{ ""words"" : [ ""patina"", ""pinata"" ] }"
"aaintt","{ ""words"" : [ ""attain"" ] }"
"aaipry","{ ""words"" : [ ""apiary"" ] }"
